λ,Lq,s,μ,ρ,Wq
2.328099966,6.583199978,4,2.64,0.2205,0.0046
13.36779976,6.489200115,7,15.1817,0.1258,0
11.92160034,8.968700409,6,13.1286,0.1513,0.0001
13.1789999,11.21119976,6,14.265,0.154,0.0001
10.45479965,0.734600008,1,18.4983,0.5652,0.0703
2.065099955,0.511900008,10,4.098,0.0504,0
5.216199875,15.11429977,1,5.5411,0.9414,2.8976
9.997699738,5.993999958,6,11.4536,0.1455,0.0001
2.325500011,9.032999992,5,2.5594,0.1817,0.0014
18.42779922,12.48289967,8,19.8016,0.1163,0
8.217499733,18.41959953,1,8.6417,0.9509,2.2415
11.64540005,15.83920002,7,12.3393,0.1348,0
16.87719917,18.51950073,1,17.744,0.9511,1.0973
13.8888998,5.771299839,10,15.9805,0.0869,0
1.823500037,9.206899643,5,2.0037,0.182,0.0018
17.20389938,13.64750004,9,18.3836,0.104,0
7.843999863,5.297500134,5,9.1178,0.1721,0.0003
9.05340004,5.30880022,2,10.5209,0.4303,0.0246
19.47900009,11.86089993,8,21.0022,0.1159,0
4.676499844,18.88159943,6,4.9123,0.1587,0.0003
5.256400108,4.533100128,2,6.2341,0.4216,0.0396
8.198200226,7.589600086,1,9.1645,0.8946,0.9258
4.675700188,14.82900047,9,4.9722,0.1045,0
16.4885006,7.566899776,5,18.4372,0.1789,0.0002
10.94229984,0.45480001,1,22.5943,0.4843,0.0416
8.772000313,10.67020035,8,9.5288,0.1151,0
10.4520998,0.620899975,10,19.483,0.0536,0
16.9871006,2.291300058,8,22.5676,0.0941,0
8.026000023,16.35370064,9,8.49,0.105,0
10.89540005,4.169799805,5,13.0731,0.1667,0.0002
18.89369965,15.80879974,6,20.0215,0.1573,0.0001
15.94120026,2.205300093,6,21.3408,0.1245,0
8.428899765,4.583099842,4,9.9819,0.2111,0.0011
7.860899925,19.27000046,9,8.2496,0.1059,0
7.632900238,1.027500033,10,12.2584,0.0623,0
2.04189992,13.02159977,5,2.1882,0.1866,0.0018
5.369400024,16.55920029,9,5.6761,0.1051,0
14.6328001,18.71509933,3,15.3768,0.3172,0.0039
16.34880066,0.974300027,10,26.6448,0.0614,0
9.401900291,17.01580048,4,9.9253,0.2368,0.0015
1.862499952,12.76049995,9,1.9985,0.1035,0
1.34739995,6.811600208,6,1.5225,0.1475,0.0007
4.267499924,14.4090004,1,4.5456,0.9388,3.3765
13.05599976,3.025599957,5,16.4755,0.1585,0.0002
1.220299959,12.72789955,3,1.3096,0.3106,0.0435
16.81279945,19.42860031,10,17.6377,0.0953,0
11.66189957,4.153800011,4,14.0005,0.2082,0.0008
14.46049976,16.45149994,7,15.2917,0.1351,0
16.55170059,5.065000057,7,19.3474,0.1222,0
8.008899689,13.99790001,9,8.5451,0.1041,0
17.35199928,7.093500137,6,19.5258,0.1481,0.0001
12.99400043,9.256400108,2,14.2721,0.4552,0.0206
4.26240015,17.43790054,4,4.4942,0.2371,0.0032
19.58760071,19.51350021,3,20.5446,0.3178,0.0029
5.204299927,4.17539978,1,6.2433,0.8336,0.8023
15.45680046,9.965600014,9,16.8773,0.1018,0
6.554999828,6.57490015,7,7.4341,0.126,0
13.37269974,6.532100201,2,15.1766,0.4406,0.0179
11.63239956,10.40909958,3,12.6593,0.3063,0.0044
7.570899963,13.66709995,3,8.0893,0.312,0.0071
8.929100037,8.26720047,10,9.903,0.0902,0
10.85980034,17.17280006,7,11.4591,0.1354,0
2.096899986,4.867099762,7,2.4636,0.1216,0.0001
1.480499983,12.01119995,2,1.5949,0.4641,0.1923
6.681099892,7.368199825,8,7.4899,0.1115,0
7.716300011,15.11730003,9,8.1968,0.1046,0
13.60499954,0.684000015,3,24.6037,0.1843,0.0008
7.25150013,3.210900068,10,9.0592,0.08,0
14.40410042,7.794000149,9,16.0615,0.0996,0
2.281500101,15.6097002,3,2.4193,0.3143,0.0242
12.21090031,15.0571003,1,12.9742,0.9412,1.2331
4.37169981,2.041500092,6,5.9461,0.1225,0.0001
18.4885006,2.523099899,9,24.1081,0.0852,0
5.066800117,15.45670033,7,5.3758,0.1346,0.0001
16.51569939,19.24609947,5,17.3334,0.1906,0.0002
8.250699997,9.840900421,9,9.0178,0.1017,0
5.621099949,3.59649992,5,6.8952,0.163,0.0004
10.25520039,3.027299881,2,12.9399,0.3963,0.0167
12.16730022,8.57349968,7,13.451,0.1292,0
3.720000029,4.509399891,1,4.4151,0.8426,1.2122
10.28579998,12.11769962,5,11.0742,0.1858,0.0004
5.201700211,8.253299713,7,5.7699,0.1288,0.0001
18.36070061,12.42380047,7,19.7356,0.1329,0
11.53320026,10.51010036,10,12.5423,0.092,0
10.26340008,8.252699852,5,11.3846,0.1803,0.0003
17.93320084,12.62880039,8,19.2557,0.1164,0
2.33739996,4.244400024,1,2.7975,0.8355,1.8159
2.865400076,8.868300438,4,3.1585,0.2268,0.0041
12.13160038,1.230100036,9,18.5734,0.0726,0
12.64830017,19.21039963,8,13.2756,0.1191,0
2.885999918,11.54510021,5,3.1174,0.1852,0.0012
3.813899994,7.171800137,2,4.287,0.4448,0.0649
3.764899969,19.34090042,10,3.9504,0.0953,0
13.21780014,2.617199898,2,17.1176,0.3861,0.012
6.842000008,5.897999763,10,7.8527,0.0871,0
9.897800446,9.571100235,7,10.8419,0.1304,0
1.834599972,19.93849945,5,1.9224,0.1909,0.0022
17.68400002,19.03089905,2,18.5689,0.4762,0.0175
15.58780003,12.93809986,6,16.7116,0.1555,0.0001
14.55780029,6.779099941,8,16.4574,0.1106,0
4.309000015,19.43899918,6,4.5203,0.1589,0.0003
7.761300087,16.19569969,2,8.2141,0.4724,0.0389
16.55249977,2.362400055,3,21.8584,0.2524,0.0016
18.65679932,6.071100235,10,21.3431,0.0874,0
18.95330048,3.320899963,2,23.5471,0.4025,0.0095
15.33600044,3.418200016,7,18.9642,0.1155,0
11.71210003,17.93090057,9,12.3324,0.1055,0
1.979500055,1.284999967,2,2.997,0.3302,0.05
15.82940006,16.12529945,10,16.7567,0.0945,0
17.96619987,1.567399979,6,25.9133,0.1156,0
8.089699745,7.465799809,5,9.0575,0.1786,0.0004
8.732500076,2.82130003,7,11.1554,0.1118,0
12.79629993,11.45559978,5,13.8299,0.1851,0.0003
5.381800175,13.07520008,3,5.766,0.3111,0.0099
8.25510025,12.85169983,4,8.854,0.2331,0.0016
5.044000149,7.642799854,8,5.6348,0.1119,0
9.009599686,1.977800012,3,12.3365,0.2434,0.0027
7.984700203,11.93550014,4,8.6054,0.232,0.0016
19.82489967,0.0361,3,114.7238,0.0576,0
2.464600086,9.274900436,7,2.7066,0.1301,0.0001
13.42210007,9.420499802,6,14.7211,0.152,0.0001
11.34869957,13.70510006,8,12.1238,0.117,0
7.962800026,9.028699875,7,8.7641,0.1298,0
10.46619987,7.805399895,4,11.6689,0.2242,0.0011
16.2833004,14.57470036,5,17.3329,0.1879,0.0002
3.719300032,5.502999783,10,4.3034,0.0864,0
18.87919998,3.90170002,3,22.873,0.2751,0.0019
7.942900181,19.88489914,3,8.3241,0.3181,0.0072
17.63949966,7.293900013,8,19.7946,0.1114,0
4.513999939,16.01099968,5,4.7802,0.1889,0.0008
18.33130074,2.789799929,9,23.4646,0.0868,0
9.710700035,8.726200104,4,10.7189,0.2265,0.0012
17.83399963,16.49410057,2,18.8566,0.4729,0.017
16.82220078,5.473100185,8,19.4769,0.108,0
15.12349987,7.890500069,2,16.8444,0.4489,0.0169
19.00740051,14.10459995,8,20.271,0.1172,0
8.006999969,0.153899997,4,24.8028,0.0807,0
17.90509987,15.69610023,9,18.9812,0.1048,0
13.60680008,15.46329975,5,14.4362,0.1885,0.0003
17.99259949,2.358099937,4,23.7685,0.1892,0.0004
17.59539986,15.3142004,9,18.6778,0.1047,0
6.695700169,0.048900001,3,33.8114,0.066,0.0001
4.179100037,5.830699921,9,4.8028,0.0967,0
15.24779987,16.38699913,3,16.1275,0.3152,0.0037
9.833100319,8.07859993,3,10.9283,0.2999,0.0048
13.29920006,13.46339989,10,14.2229,0.0935,0
10.78530025,13.37730026,4,11.5389,0.2337,0.0012
17.27659988,5.654300213,3,19.9258,0.289,0.0024
5.250899792,3.612999916,4,6.4365,0.2039,0.0016
13.49240017,2.433599949,4,17.7151,0.1904,0.0005
5.416999817,16.55050087,9,5.7266,0.1051,0
19.0041008,16.18530083,7,20.1135,0.135,0
15.17650032,16.14609909,4,16.0645,0.2362,0.0009
14.22389984,15.01620007,9,15.1153,0.1046,0
12.61289978,7.859899998,2,14.0532,0.4488,0.0202
13.27760029,0.568000019,6,25.4657,0.0869,0
13.23429966,18.96870041,10,13.8986,0.0952,0
6.11439991,10.8302002,4,6.6347,0.2304,0.002
4.958300114,3.877899885,1,6.0127,0.8246,0.7821
19.36599922,7.952600002,4,21.554,0.2246,0.0006
1.845800042,14.43449974,4,1.9659,0.2347,0.0072
10.95629978,11.05749989,8,11.8708,0.1154,0
7.585599899,15.23919964,6,8.0544,0.157,0.0002
16.46039963,14.05220032,8,17.5585,0.1172,0
2.729099989,3.959399939,4,3.2993,0.2068,0.0032
15.21409988,8.442000389,5,16.8421,0.1807,0.0002
12.67409992,16.64119911,6,13.3947,0.1577,0.0001
10.17339993,11.1420002,7,11.0166,0.1319,0
9.399499893,18.02199936,4,9.8949,0.2375,0.0015
17.52389908,17.29039955,5,18.4847,0.1896,0.0002
7.949699879,16.84339905,3,8.3966,0.3156,0.007
4.039800167,18.06010056,3,4.2523,0.3167,0.014
15.66889954,6.163300037,9,17.8949,0.0973,0
19.19379997,3.471899986,2,23.6756,0.4053,0.0096
5.185500145,8.668299675,1,5.7271,0.9054,1.6716
9.016200066,10.20670033,5,9.8267,0.1835,0.0004
6.146299839,6.986700058,2,6.9269,0.4437,0.0399
14.70390034,14.41810036,1,15.6614,0.9389,0.9806
11.70119953,19.00060081,2,12.2876,0.4761,0.0265
14.98079967,9.544799805,7,16.4133,0.1304,0
3.737299919,18.15839958,10,3.9329,0.095,0
1.20599997,9.123100281,8,1.3262,0.1137,0.0001
1.863600016,18.78750038,4,1.958,0.2379,0.0075
19.23410034,14.59969997,2,20.4719,0.4698,0.0154
3.14470005,6.406799793,3,3.5763,0.2931,0.014
7.023799896,8.143699646,4,7.8004,0.2251,0.0016
2.586100101,13.03880024,4,2.7712,0.2333,0.0051
16.99810028,10.45940018,3,18.492,0.3064,0.003
18.36790085,17.52289963,9,19.3623,0.1054,0
6.152999878,3.59890008,8,7.5469,0.1019,0
7.829400063,10.82689953,9,8.4958,0.1024,0
10.91699982,18.77420044,7,11.4704,0.136,0
16.20339966,6.360199928,7,18.4418,0.1255,0
3.760900021,9.17029953,2,4.134,0.4549,0.0708
7.100699902,15.28629971,3,7.5383,0.314,0.0078
1.556699991,7.757100105,3,1.7366,0.2988,0.0301
1.744300008,6.834899902,10,1.9702,0.0885,0
7.686999798,10.10219955,4,8.3846,0.2292,0.0016
13.95409966,13.61450005,3,14.9131,0.3119,0.0039
15.9048996,2.183399916,6,21.3353,0.1242,0
8.880900383,1.925300002,5,12.2304,0.1452,0.0002
18.94249916,13.20110035,9,20.2826,0.1038,0
18.49090004,7.071199894,10,20.814,0.0888,0
2.871200085,13.39099979,4,3.0716,0.2337,0.0046
14.80010033,13.67249966,7,15.8132,0.1337,0
3.210500002,16.83620071,2,3.391,0.4734,0.0947
15.85879993,0.978600025,4,25.8145,0.1536,0.0002
13.78740025,9.28030014,8,15.1403,0.1138,0
6.485899925,13.18000031,8,6.9454,0.1167,0
14.34599972,0.939199984,9,23.6224,0.0675,0
15.75290012,14.7215004,7,16.7587,0.1343,0
2.906699896,4.314099789,5,3.4709,0.1675,0.0008
9.218899727,10.61390018,3,10.0182,0.3067,0.0055
13.87580013,17.0041008,1,14.6488,0.9472,1.2255
13.91460037,11.74720001,1,15.0125,0.9269,0.8442
7.904500008,9.517999649,4,8.6623,0.2281,0.0015
1.076799989,5.202600002,10,1.2545,0.0858,0
13.49860001,18.08760071,8,14.2076,0.1188,0
1.632699966,9.565400124,7,1.7885,0.1304,0.0002
7.377900124,2.479700089,7,9.6522,0.1092,0
17.43420029,15.23719978,9,18.5118,0.1046,0
8.58520031,8.808899879,10,9.4689,0.0907,0
13.24250031,9.748399734,10,14.4845,0.0914,0
6.346000195,17.34980011,8,6.6928,0.1185,0
8.462400436,8.071100235,8,9.4057,0.1125,0
6.677899837,15.34959984,8,7.0878,0.1178,0
2.626499891,7.931099892,7,2.924,0.1283,0.0001
7.749700069,14.84090042,2,8.2408,0.4702,0.0384
19.62969971,10.12049961,6,21.4082,0.1528,0.0001
17.99099922,15.4538002,10,19.0883,0.0943,0
4.713699818,3.810499907,10,5.7311,0.0822,0
2.951699972,12.22859955,10,3.176,0.0929,0
11.20119953,16.86370087,5,11.8301,0.1894,0.0003
7.910999775,8.428199768,9,8.7588,0.1004,0
11.98029995,11.14659977,6,12.9729,0.1539,0.0001
19.23679924,13.35079956,9,20.5834,0.1038,0
19.73889923,2.84190011,9,25.183,0.0871,0
1.495700002,5.142000198,8,1.745,0.1071,0.0001
2.949199915,7.761499882,1,3.2898,0.8965,2.6317
15.31159973,18.60770035,8,16.0944,0.1189,0
15.60179996,11.65849972,2,16.8415,0.4632,0.0181
16.97529984,18.02659988,2,17.8698,0.475,0.0181
8.690299988,5.539999962,3,10.0471,0.2883,0.0048
4.804299831,14.96240044,7,5.1064,0.1344,0.0001
7.445499897,5.979599953,1,8.5321,0.8726,0.8031
18.25160027,11.0763998,5,19.7726,0.1846,0.0002
8.320199966,0.429500014,7,17.5199,0.0678,0
8.765299797,5.940199852,10,10.052,0.0872,0
13.72280025,17.53359985,10,14.4653,0.0949,0
19.39819908,9.847900391,8,21.2005,0.1144,0
14.50249958,2.439599991,9,19.0323,0.0847,0
8.166799545,1.628999949,2,11.674,0.3498,0.0144
15.18309975,17.11160088,3,16.0238,0.3158,0.0037
18.16090012,11.46039963,5,19.6272,0.1851,0.0002
6.947599888,5.642700195,9,8.0149,0.0963,0
10.40289974,8.679200172,7,11.4883,0.1294,0
2.372800112,4.567200184,6,2.8113,0.1407,0.0003
5.457099915,14.59529972,3,5.8084,0.3132,0.01
17.91300011,18.17340088,9,18.8497,0.1056,0
1.789299965,0.303600013,5,4.263,0.0839,0.0001
4.135099888,18.81620026,10,4.3443,0.0952,0
12.87609959,9.496899605,9,14.1131,0.1014,0
8.702699661,12.22920036,9,9.3641,0.1033,0
14.06400013,6.277800083,2,16.0296,0.4387,0.0168
2.110300064,7.837299824,7,2.3519,0.1282,0.0001
8.179200172,7.97179985,4,9.1013,0.2247,0.0014
12.16790009,14.06960011,10,12.9787,0.0938,0
19.88660049,2.939500093,10,25.221,0.0788,0
16.23539925,18.67140007,2,17.0628,0.4758,0.019
18.79949951,13.38910007,6,20.112,0.1558,0.0001
9.206600189,14.0170002,9,9.8222,0.1041,0
18.33869934,3.189100027,6,22.9364,0.1333,0
19.24410057,7.422100067,10,21.5586,0.0893,0
8.341899872,10.68050003,2,9.061,0.4603,0.0332
14.26340008,16.45630074,4,15.083,0.2364,0.001
6.423500061,6.489600182,9,7.2951,0.0978,0
3.167299986,9.255399704,4,3.4789,0.2276,0.0038
19.08340073,16.34020042,7,20.1874,0.135,0
8.830200195,9.834500313,6,9.6517,0.1525,0.0001
7.566599846,8.866299629,10,8.3408,0.0907,0
7.832600117,8.399800301,9,8.6746,0.1003,0
10.47259998,8.424699783,10,11.5953,0.0903,0
7.945499897,16.66150093,8,8.3967,0.1183,0
5.114900112,12.90709972,8,5.4845,0.1166,0
16.36450005,8.146300316,7,18.1734,0.1286,0
1.630200028,16.55319977,5,1.7234,0.1892,0.0024
12.69470024,3.509599924,8,15.6321,0.1015,0
8.83769989,17.76250076,6,9.31,0.1582,0.0001
2.684499979,0.848399997,2,4.551,0.2949,0.0265
4.848599911,11.90740013,2,5.2264,0.4639,0.0586
19.71030045,11.01350021,2,21.3616,0.4613,0.0142
7.425700188,9.145299911,10,8.1642,0.091,0
17.01070023,17.92210007,9,17.9121,0.1055,0
16.09219933,17.23130035,4,16.9774,0.237,0.0009
11.67129993,3.870500088,9,14.1573,0.0916,0
15.99180031,9.330800056,4,17.5532,0.2278,0.0008
5.358300209,19.84600067,1,5.6159,0.9541,3.7038
5.497300148,16.83169937,9,5.8065,0.1052,0
4.803800106,0.840300024,8,8.1666,0.0735,0
9.570599556,7.157100201,1,10.76,0.8895,0.7478
9.039400101,6.161099911,7,10.324,0.1251,0
2.871799946,6.577700138,3,3.2568,0.2939,0.0155
1.380900025,4.745299816,6,1.6278,0.1414,0.0006
8.618700027,8.024399757,2,9.5845,0.4496,0.0298
3.162800074,5.470900059,3,3.6621,0.2879,0.0131
12.19589996,3.90079999,7,14.7764,0.1179,0
18.22229958,12.4701004,2,19.5821,0.4653,0.0158
12.51449966,3.895699978,5,15.1654,0.165,0.0002
1.134199977,5.441400051,8,1.3141,0.1079,0.0001
2.121299982,17.79529953,5,2.2345,0.1899,0.0018
1.194700003,4.962100029,7,1.4001,0.1219,0.0002
9.058300018,3.296299934,7,11.2675,0.1148,0
7.156300068,2.801100016,6,9.1537,0.1303,0.0001
10.47179985,18.81780052,1,11.0015,0.9519,1.797
5.711699963,17.2310009,9,6.0259,0.1053,0
2.972199917,1.314200044,2,4.4745,0.3321,0.0339
6.728600025,13.3409996,1,7.1999,0.9345,1.9827
1.743100047,9.087499619,7,1.9175,0.1299,0.0002
16.23380089,8.349100113,4,17.9885,0.2256,0.0007
6.400400162,9.599699974,6,7.0092,0.1522,0.0002
14.14760017,1.914700031,3,19.5066,0.2418,0.0017
9.602499962,12.28590012,4,10.3291,0.2324,0.0013
12.76830006,11.45119953,1,13.8,0.9252,0.8968
10.40869999,6.365799904,6,11.8455,0.1465,0.0001
6.006400108,12.4382,9,6.4557,0.1034,0
13.38939953,3.657200098,3,16.3818,0.2724,0.0026
18.36930084,3.734400034,9,22.4026,0.0911,0
13.48490047,6.387800217,7,15.3406,0.1256,0
6.695199966,17.88990021,4,7.0506,0.2374,0.0021
4.615099907,0.008,8,53.9575,0.0107,0
13.63799953,16.45870018,7,14.4216,0.1351,0
12.0387001,11.00360012,8,13.0481,0.1153,0
2.90109992,10.31099987,3,3.1595,0.3061,0.0175
15.46269989,9.70759964,3,16.9185,0.3047,0.0032
3.222199917,4.946199894,9,3.7778,0.0948,0
9.901599884,18.11359978,2,10.421,0.4751,0.0311
10.10779953,10.80480003,6,10.9698,0.1536,0.0001
14.28709984,2.6875,6,18.4122,0.1293,0
6.316899776,18.58160019,2,6.6403,0.4756,0.0489
8.8270998,12.1807003,2,9.5004,0.4646,0.0324
6.096199989,19.53750038,4,6.3937,0.2384,0.0023
10.11530018,0.441900015,1,21.0927,0.4796,0.0437
9.163700104,10.81239986,8,9.9447,0.1152,0
17.99040031,14.23019981,9,19.1764,0.1042,0
16.44389915,5.73759985,2,18.9331,0.4343,0.0139
5.145800114,6.027400017,2,5.8915,0.4367,0.0453
12.55119991,9.148200035,9,13.7991,0.1011,0
6.488699913,11.8501997,8,6.9965,0.1159,0
10.02540016,17.69599915,1,10.5631,0.9491,1.7651
4.249499798,14.06309986,5,4.5328,0.1875,0.0009
3.314899921,5.161300182,10,3.8657,0.0858,0
7.841100216,9.190899849,8,8.6174,0.1137,0
3.512099981,12.7663002,7,3.7685,0.1331,0.0001
5.468599796,0.730799973,2,9.6912,0.2821,0.0115
1.837000012,4.486499786,8,2.1818,0.1052,0
15.48840046,16.96520042,2,16.3531,0.4736,0.0197
13.87220001,7.36439991,7,15.5524,0.1274,0
9.51760006,13.77439976,4,10.1646,0.2341,0.0014
14.54679966,16.82110023,4,15.3655,0.2367,0.0009
11.29349995,2.448600054,9,14.8105,0.0847,0
10.87100029,6.968999863,9,12.2548,0.0986,0
10.28279972,2.500799894,5,13.4308,0.1531,0.0002
5.420300007,5.924699783,3,6.2178,0.2906,0.0079
13.04100037,19.47900009,2,13.6793,0.4767,0.0239
2.570300102,16.12100029,8,2.7209,0.1181,0.0001
4.322100163,7.778999805,3,4.8203,0.2989,0.0108
19.48060036,19.61969948,9,20.4275,0.106,0
7.9375,18.45669937,10,8.3465,0.0951,0
6.829199791,8.423899651,10,7.5614,0.0903,0
19.36569977,12.04059982,7,20.8589,0.1326,0
2.2973001,19.79080009,9,2.408,0.106,0
19.1114006,16.34449959,6,20.2168,0.1576,0.0001
3.803299904,16.54380035,9,4.0208,0.1051,0
9.815299988,9.279899597,2,10.7785,0.4553,0.0272
18.48730087,12.38539982,5,19.8757,0.186,0.0002
1.113000035,6.668000221,8,1.2604,0.1104,0.0001
2.445300102,2.209199905,8,3.2724,0.0934,0
18.24469948,15.0532999,7,19.3854,0.1345,0
14.21399975,17.41309929,4,14.9881,0.2371,0.001
1.414399981,9.515000343,3,1.55,0.3042,0.0351
12.00469971,6.211100101,3,13.6985,0.2921,0.0036
13.89939976,16.48019981,6,14.697,0.1576,0.0001
16.68799973,18.94619942,5,17.5267,0.1904,0.0002
17.90970039,1.535899997,10,25.9557,0.069,0
13.52789974,18.4029007,3,14.2269,0.317,0.0042
16.19709969,2.2421,5,21.6113,0.1499,0.0001
10.66650009,15.11950016,7,11.3306,0.1345,0
8.41479969,5.943600178,7,9.6494,0.1246,0
7.358099937,7.700799942,3,8.214,0.2986,0.0063
9.226900101,12.58310032,2,9.9097,0.4656,0.0312
4.953800201,8.130299568,1,5.5024,0.9003,1.6412
14.16749954,2.513400078,5,18.4872,0.1533,0.0001
3.63560009,12.08320045,8,3.915,0.1161,0
8.250200272,9.31000042,1,9.0574,0.9109,1.1285
3.901000023,14.23840046,8,4.158,0.1173,0
17.32749939,17.58329964,2,18.2625,0.4744,0.0177
12.7972002,8.591199875,7,14.1449,0.1292,0
12.20009995,5.791699886,6,14.0316,0.1449,0.0001
16.90589905,13.76589966,9,18.0558,0.104,0
7.476299763,14.05370045,5,7.975,0.1875,0.0005
17.07699966,3.328200102,10,21.2085,0.0805,0
13.18150043,16.96010017,6,13.9176,0.1579,0.0001
10.9133997,1.0977,5,17.2158,0.1268,0.0001
10.11740017,1.387400031,9,15.0272,0.0748,0
18.00550079,1.460299969,5,26.4113,0.1363,0.0001
5.971300125,9.309200287,3,6.5556,0.3036,0.0083
14.91530037,14.68099976,9,15.8701,0.1044,0
1.175899982,5.609799862,6,1.3575,0.1444,0.0007
7.910600185,17.2159996,8,8.3461,0.1185,0
16.5182991,10.89570045,5,17.9161,0.1844,0.0002
15.44999981,7.025599957,10,17.4024,0.0888,0
11.49919987,19.30879974,10,12.0667,0.0953,0
17.41670036,3.886300087,2,21.1136,0.4125,0.0112
16.4428997,1.338700056,8,24.6396,0.0834,0
4.103000164,14.70370007,5,4.3653,0.188,0.0009
3.35619998,11.63490009,6,3.6234,0.1544,0.0003
10.94509983,3.824800014,4,13.3,0.2057,0.0008
8.537799835,1.819800019,7,11.903,0.1025,0
6.006700039,8.350199699,5,6.6559,0.1805,0.0005
12.93789959,18.30080032,9,13.6099,0.1056,0
10.21420002,18.44729996,5,10.7408,0.1902,0.0004
17.26729965,5.083199978,1,20.1747,0.8559,0.2944
13.34029961,2.66230011,5,17.2218,0.1549,0.0001
7.856999874,11.58209991,3,8.4852,0.3087,0.0066
8.739100456,18.23259926,9,9.1947,0.1056,0
3.267499924,5.435500145,1,3.7863,0.863,1.6635
13.82979965,6.399700165,6,15.7298,0.1465,0.0001
10.64820004,10.31649971,2,11.596,0.4591,0.0258
19.33169937,12.7215004,7,20.7476,0.1331,0
5.846700191,8.745900154,8,6.4524,0.1133,0
19.24819946,12.38469982,6,20.6938,0.155,0.0001
13.26809978,9.904600143,10,14.4944,0.0915,0
7.601099968,0.5176,3,15.0286,0.1686,0.001
19.48469925,2.446000099,2,25.5578,0.3812,0.0078
17.91530037,7.502200127,9,20.0491,0.0993,0
5.59499979,12.30910015,1,6.0176,0.9298,2.2
15.45289993,19.28689957,10,16.2164,0.0953,0
3.333499908,5.53000021,2,3.8548,0.4324,0.0678
3.197799921,2.699199915,6,4.1178,0.1294,0.0002
3.929399967,16.05540085,7,4.1605,0.1349,0.0001
18.58979988,15.75790024,1,19.7029,0.9435,0.8477
4.716700077,18.55450058,3,4.9585,0.3171,0.0121
2.009200096,2.985699892,6,2.5413,0.1318,0.0003
3.493200064,6.231500149,3,3.9846,0.2922,0.0125
12.01119995,15.72169971,2,12.7319,0.4717,0.025
16.62999916,13.63850021,7,17.771,0.1337,0
8.310099602,17.43390083,10,8.7622,0.0948,0
6.930699825,4.487699986,7,8.2311,0.1203,0
19.51370049,14.03170013,2,20.8173,0.4687,0.0151
6.24090004,4.463900089,10,7.4173,0.0841,0
11.60770035,9.178500175,2,12.7583,0.4549,0.023
14.80760002,19.03700066,6,15.5484,0.1587,0.0001
8.190400124,4.604000092,6,9.6935,0.1408,0.0001
19.38870049,16.27470016,1,20.5147,0.9451,0.8394
6.456299782,5.416900158,10,7.4845,0.0863,0
16.11190033,14.65470028,6,17.1451,0.1566,0.0001
11.9314003,10.41709995,7,12.9839,0.1313,0
19.08460045,15.87749958,5,20.2191,0.1888,0.0002
1.956900001,7.408699989,5,2.1926,0.1785,0.0016
16.75309944,2.67869997,3,21.6032,0.2585,0.0018
7.923900127,13.51200008,9,8.4724,0.1039,0
9.011699677,1.641499996,5,12.8591,0.1402,0.0001
12.25749969,0.476200014,5,24.919,0.0984,0
11.06280041,11.00940037,8,11.9899,0.1153,0
2.151599884,4.992199898,2,2.5196,0.427,0.1009
5.025100231,13.49839973,10,5.3733,0.0935,0
9.052900314,4.004300117,4,10.9261,0.2071,0.001
10.29440022,14.1097002,1,10.9785,0.9377,1.3706
19.89539909,15.02369976,10,21.1416,0.0941,0
6.651599884,2.942199945,6,8.4345,0.1314,0.0001
7.084700108,1.440199971,8,10.4271,0.0849,0
14.12320042,3.004899979,8,17.8433,0.0989,0
1.232800007,2.835000038,5,1.5735,0.1567,0.0016
6.589900017,3.029599905,5,8.314,0.1585,0.0003
16.64170074,10.29360008,5,18.126,0.1836,0.0002
1.146399975,15.28310013,6,1.2171,0.157,0.001
19.53840065,6.717299938,1,22.1089,0.8837,0.3438
19.2105999,18.3798008,9,20.2044,0.1056,0
15.05910015,12.13669968,9,16.2117,0.1032,0
14.38309956,5.094500065,8,16.8002,0.107,0
5.98360014,14.02390003,2,6.3835,0.4687,0.0491
14.05620003,15.17440033,4,14.9284,0.2354,0.001
13.21940041,2.604500055,4,17.1351,0.1929,0.0005
18.77400017,13.15209961,4,20.1068,0.2334,0.0007
6.036600113,11.17090034,6,6.5357,0.1539,0.0002
1.341099977,11.1576004,10,1.4521,0.0924,0
8.051799774,1.394099951,6,11.945,0.1123,0
5.682199955,16.73119926,7,6.0036,0.1352,0.0001
17.96260071,13.63679981,5,19.1952,0.1872,0.0002
3.451499939,5.635900021,4,3.9823,0.2167,0.0029
11.0323,2.265300035,8,14.6898,0.0939,0
2.392100096,19.66970062,2,2.5081,0.4769,0.1303
2.323600054,15.96259975,9,2.461,0.1049,0
7.445400238,9.478500366,5,8.1619,0.1824,0.0005
19.68379974,3.040400028,3,24.8185,0.2644,0.0016
5.6104002,2.368099928,5,7.4053,0.1515,0.0003
5.478499889,1.751899958,4,7.7027,0.1778,0.0009
12.55290031,15.11709976,8,13.3346,0.1177,0
8.076199532,15.60410023,10,8.5643,0.0943,0
9.965399742,11.78919983,3,10.7491,0.309,0.0052
17.08289909,13.67059994,5,18.2524,0.1872,0.0002
1.675799966,6.545800209,4,1.9014,0.2203,0.0064
12.32619953,15.90369987,4,13.0578,0.236,0.0011
17.50749969,11.45839977,4,18.9213,0.2313,0.0007
17.5897007,3.447299957,7,21.7216,0.1157,0
7.887899876,9.321200371,9,8.6588,0.1012,0
7.097400188,13.94900036,2,7.5742,0.4685,0.0414
