rho,s,lambda,mu,Wq,W,Lq,Ls,P?
0.1124,2,15.7809,70.2222,0.0003,0.0146,0.0053,0.2301,0.887636
0.5761,9,14.9572,2.8849,0.0134,0.36,0.2002,5.3849,0.423927
0.7878,6,10.1098,2.1389,0.1909,0.6585,1.9303,6.657,0.212216
0.5382,8,18.0695,4.1971,0.0086,0.2469,0.1563,4.4615,0.461846
0.3962,4,12.4872,7.8789,0.0071,0.134,0.0887,1.6735,0.603778
0.5615,3,17.7664,10.5478,0.0251,0.1199,0.4456,2.13,0.438542
0.5322,1,4.4616,8.383,0.1357,0.255,0.6055,1.1378,0.467779
0.1219,8,11.8595,12.1637,0,0.0822,0.0002,0.9751,0.878126
0.6038,4,16.2133,6.713,0.0316,0.1805,0.5119,2.9271,0.396199
0.0166,10,17.8471,107.6173,0,0.0093,0,0.1658,0.983416
0.9106,4,8.1014,2.2242,1.0266,1.4762,8.3166,11.9589,0.089416
0.0672,3,13.8359,68.6496,0,0.0146,0.0005,0.2021,0.932819
0.9719,8,3.9606,0.5094,7.9676,9.9308,31.5564,39.3318,0.028082
0.0728,5,17.2127,47.2879,0,0.0212,0.0001,0.3641,0.9272
0.105,3,1.148,3.6444,0.0017,0.2761,0.0019,0.3169,0.894998
0.0132,3,16.0665,404.6093,0,0.0025,0,0.0397,0.986764
0.253,10,18.34,7.2486,0.0001,0.1381,0.0021,2.5323,0.746986
0.5021,7,19.3605,5.5087,0.0066,0.1881,0.1276,3.6422,0.497922
0.0632,4,15.0793,59.6207,0,0.0168,0.0002,0.2531,0.93677
0.4898,2,16.8537,17.2038,0.0202,0.0784,0.3412,1.3209,0.510176
0.2152,2,6.0717,14.11,0.0049,0.0757,0.0296,0.4599,0.784845
0.217,9,19.7727,10.1236,0.0001,0.0988,0.0014,1.9545,0.782985
0.9986,7,9.2328,1.3208,79.5506,80.3077,734.4744,741.4649,0.001354
0.4174,7,11.2339,3.8453,0.0046,0.2647,0.0521,2.9736,0.582645
0.142,8,17.4852,15.3882,0,0.065,0.0003,1.1366,0.857966
0.7708,7,15.4154,2.8569,0.0999,0.45,1.5406,6.9365,0.229165
0.8903,10,13.3052,1.4945,0.397,1.0661,5.2821,14.1847,0.109746
0.6069,2,19.4783,16.0483,0.0384,0.1007,0.7484,1.9621,0.393136
0.333,6,7.0196,3.5137,0.0035,0.2881,0.0245,2.0223,0.667034
0.8574,5,14.2393,3.3216,0.289,0.59,4.1148,8.4018,0.142614
0.9827,4,3.8527,0.9801,14.1825,15.2027,54.6409,58.5716,0.017318
0.26,6,1.5922,1.0206,0.0055,0.9853,0.0087,1.5688,0.739989
0.6029,6,13.7231,3.7937,0.0276,0.2912,0.3792,3.9965,0.397108
0.8111,2,6.6796,4.1174,0.4747,0.7176,3.1709,4.7932,0.188861
0.2862,7,8.7907,4.3881,0.0011,0.229,0.0094,2.0127,0.713814
0.4691,8,18.8153,5.0139,0.004,0.2035,0.0759,3.8285,0.530918
0.7824,1,18.7535,23.9698,0.15,0.1917,2.8128,3.5952,0.21762
0.1072,1,13.1556,122.7293,0.001,0.0091,0.0129,0.1201,0.892808
0.0766,10,2.8944,3.7765,0,0.2648,0,0.7664,0.923357
0.717,1,15.1217,21.0907,0.1201,0.1675,1.8164,2.5334,0.283014
0.2176,3,11.8779,18.1936,0.0014,0.0564,0.0171,0.67,0.78238
0.8613,8,17.5712,2.5502,0.2177,0.6098,3.8251,10.7152,0.138732
0.3956,4,12.2977,7.7724,0.0072,0.1358,0.0881,1.6703,0.604442
0.3773,2,16.7201,22.16,0.0088,0.0539,0.1475,0.902,0.622741
0.2704,5,19.9728,14.7712,0.0007,0.0684,0.0148,1.3669,0.729571
0.3297,5,14.8146,8.9863,0.0022,0.1134,0.032,1.6805,0.670284
0.5501,8,9.9946,2.2713,0.0176,0.4579,0.176,4.5765,0.449941
0.2141,1,8.5531,39.9564,0.0068,0.0318,0.0583,0.2724,0.785939
0.8182,5,2.5239,0.6169,1.0881,2.7091,2.7463,6.8376,0.181751
0.4095,1,1.2582,3.0725,0.2257,0.5512,0.284,0.6935,0.590494
0.6129,4,1.3379,0.5457,0.4106,2.243,0.5493,3.001,0.387099
0.8822,7,19.7981,3.206,0.2596,0.5715,5.1404,11.3156,0.117823
0.7541,3,13.1266,5.802,0.1395,0.3119,1.8311,4.0935,0.245855
0.1382,6,3.2591,3.9293,0.0002,0.2547,0.0007,0.8301,0.861762
0.9225,2,14.5401,7.8811,0.7279,0.8548,10.5835,12.4285,0.077537
0.427,1,19.3667,45.3534,0.0164,0.0385,0.3182,0.7453,0.572983
0.4868,9,18.9853,4.3333,0.0041,0.2349,0.0779,4.4592,0.51319
0.1941,6,10.6585,9.1505,0.0003,0.1095,0.0027,1.1675,0.805867
0.5827,8,15.1729,3.2546,0.016,0.3232,0.2424,4.9044,0.417253
0.7846,6,1.4049,0.2984,1.3335,4.6844,1.8734,6.5811,0.215383
0.4406,8,5.4141,1.5361,0.0102,0.6612,0.0552,3.5797,0.559441
0.396,10,5.2821,1.3337,0.0041,0.7538,0.0215,3.9819,0.60396
0.9634,8,10.6675,1.3841,2.1854,2.9079,23.3127,31.0198,0.036616
0.2816,6,13.7931,8.1625,0.0009,0.1234,0.0122,1.702,0.718364
0.5553,10,4.3362,0.7808,0.0329,1.3136,0.1425,5.6958,0.444666
0.2034,10,8.44,4.1488,0.0001,0.2411,0.0007,2.035,0.796569
0.1996,9,2.8145,1.5665,0.0003,0.6387,0.0009,1.7976,0.800373
0.1354,4,15.646,28.8969,0.0001,0.0347,0.0021,0.5435,0.86464
0.7867,9,8.7845,1.2407,0.1825,0.9885,1.6035,8.6838,0.213298
0.2164,6,14.4267,11.111,0.0003,0.0903,0.0042,1.3026,0.783597
0.6924,7,16.2637,3.3558,0.0459,0.3439,0.7469,5.5934,0.307646
0.9537,1,19.8127,20.7746,0.9915,1.0396,19.6442,20.5979,0.046301
0.6059,5,1.401,0.4625,0.3192,2.4814,0.4471,3.4764,0.394147
0.6757,7,19.0209,4.0215,0.0338,0.2824,0.6427,5.3724,0.32432
0.6081,3,13.0244,7.1397,0.048,0.188,0.6248,2.449,0.391929
0.2352,10,7.3767,3.1365,0.0002,0.319,0.0015,2.3534,0.764812
0.4996,3,1.9371,1.2924,0.1449,0.9187,0.2807,1.7795,0.500395
0.9626,1,9.9858,10.3737,2.4817,2.578,24.7813,25.7439,0.037392
0.3789,3,15.9652,14.045,0.0065,0.0777,0.1035,1.2402,0.621095
0.869,7,13.1559,2.1628,0.3308,0.7932,4.3525,10.4354,0.131013
0.4704,1,19.7538,41.9938,0.0212,0.045,0.4178,0.8882,0.529602
0.0992,5,14.5689,29.3842,0,0.0341,0.0004,0.4962,0.900838
0.2026,5,4.3142,4.2586,0.0012,0.236,0.005,1.018,0.797388
0.6349,5,2.2026,0.6939,0.2577,1.6989,0.5676,3.742,0.365118
0.5363,8,6.3211,1.4733,0.0243,0.703,0.1534,4.4438,0.4637
0.2479,9,14.0023,6.275,0.0002,0.1595,0.0026,2.234,0.752063
0.5426,6,18.1589,5.5781,0.0122,0.1915,0.2219,3.4773,0.457432
0.7033,9,12.3033,1.9438,0.0568,0.5712,0.6982,7.0278,0.296718
0.231,4,16.7188,18.0939,0.0008,0.056,0.0126,0.9366,0.769
0.2122,1,10.0022,47.1451,0.0057,0.0269,0.0571,0.2693,0.787842
0.6278,1,15.9459,25.4005,0.0664,0.1058,1.0588,1.6866,0.37222
0.1352,8,11.4791,10.6113,0,0.0943,0.0002,1.082,0.864778
0.1038,1,10.1357,97.6306,0.0012,0.0114,0.012,0.1158,0.896183
0.9357,5,15.2692,3.2638,0.8086,1.115,12.3469,17.0253,0.064329
0.9529,3,16.9814,5.9404,1.0901,1.2585,18.5117,21.3703,0.047126
0.3824,4,2.4853,1.625,0.0312,0.6466,0.0774,1.6069,0.617637
0.2197,5,11.3703,10.3512,0.0006,0.0972,0.0067,1.1052,0.780309
0.0029,4,5.9886,507.6499,0,0.002,0,0.0118,0.997051
0.7781,10,15.931,2.0474,0.0872,0.5756,1.3893,9.1703,0.221894
0.787,8,13.3116,2.1143,0.1276,0.6006,1.6992,7.9951,0.213009
0.6592,9,6.3302,1.067,0.0719,1.0091,0.4551,6.3878,0.340812
0.1391,6,7.3296,8.7828,0.0001,0.114,0.0007,0.8353,0.86091
0.6294,4,11.3195,4.4965,0.0551,0.2775,0.6239,3.1413,0.370645
0.082,2,11.6823,71.2211,0.0002,0.0142,0.0024,0.1664,0.917986
0.0185,3,8.5324,153.7317,0,0.0065,0,0.0555,0.981499
0.7098,8,7.9461,1.3993,0.1013,0.8159,0.805,6.4835,0.290183
0.7981,10,15.0312,1.8833,0.1144,0.6454,1.7202,9.7014,0.201877
0.891,2,9.5558,5.3626,0.7234,0.9099,6.9126,8.6945,0.109031
0.9094,4,11.6036,3.1897,0.7049,1.0184,8.1795,11.8172,0.090555
0.2215,10,7.4763,3.3756,0.0001,0.2964,0.0011,2.2159,0.778523
0.8415,1,4.8099,5.7156,0.9292,1.1041,4.4692,5.3108,0.15846
0.228,4,15.6249,17.1314,0.0008,0.0591,0.0121,0.9241,0.771985
0.4595,5,17.7795,7.7393,0.007,0.1362,0.1251,2.4224,0.540538
0.821,9,7.0428,0.9531,0.3285,1.3777,2.3136,9.703,0.178957
0.0824,8,9.7584,14.8104,0,0.0675,0,0.6589,0.917639
0.9979,4,6.817,1.7078,70.6729,71.2585,481.7774,485.7692,0.002062
0.8116,9,9.4053,1.2876,0.2219,0.9986,2.0872,9.3918,0.188382
0.7961,5,18.7524,4.711,0.1187,0.331,2.2263,6.2068,0.203887
0.109,5,5.8392,10.7178,0.0001,0.0934,0.0005,0.5453,0.891037
0.4961,2,13.7935,13.9006,0.0258,0.0978,0.3565,1.3488,0.503853
0.6246,8,15.4357,3.0891,0.0234,0.3472,0.3617,5.3585,0.375395
0.0749,3,18.1965,80.9719,0,0.0124,0.0007,0.2254,0.925091
0.2754,5,1.3741,0.9981,0.0115,1.0135,0.0158,1.3926,0.724649
0.9087,4,16.4506,4.526,0.4917,0.7127,8.0893,11.724,0.091321
0.5727,10,6.9345,1.2108,0.0247,0.8506,0.1714,5.8988,0.427262
0.7263,3,10.9507,5.0259,0.135,0.334,1.4785,3.6574,0.273722
0.2012,9,8.5443,4.7196,0.0001,0.212,0.001,1.8113,0.798846
0.8122,4,10.4186,3.2069,0.2647,0.5765,2.7581,6.0068,0.187808
0.846,6,1.5752,0.3103,2.204,5.4263,3.4717,8.5474,0.154039
0.4597,7,4.0752,1.2664,0.0203,0.8099,0.0826,3.3005,0.540306
0.2716,2,14.8902,27.4095,0.0038,0.0403,0.0564,0.5996,0.728375
0.674,4,16.5623,6.1435,0.0532,0.216,0.8808,3.5767,0.326027
0.6498,5,16.1404,4.9675,0.0398,0.2411,0.6416,3.8908,0.350162
0.1253,5,15.6143,24.9321,0.0001,0.0402,0.0009,0.6271,0.874745
0.1376,2,11.8118,42.9071,0.0008,0.0241,0.009,0.2843,0.862356
0.3519,4,14.4807,10.2866,0.0039,0.1011,0.0568,1.4645,0.648069
0.7056,3,19.0223,8.9868,0.0666,0.1779,1.2665,3.3832,0.294438
0.2137,8,8.0969,4.7365,0.0002,0.2113,0.0018,1.7113,0.786318
0.2157,7,4.0684,2.6943,0.0007,0.3718,0.0028,1.5128,0.784286
0.5946,5,9.0073,3.0297,0.0452,0.3753,0.4074,3.3804,0.405399
0.7499,9,15.7223,2.3294,0.0702,0.4995,1.1043,7.8539,0.250052
0.3563,10,12.0362,3.3779,0.001,0.2971,0.0123,3.5755,0.643677
0.188,4,19.2785,25.6411,0.0003,0.0393,0.0062,0.7581,0.812036
0.5411,1,1.7101,3.1602,0.3732,0.6896,0.6382,1.1793,0.458855
0.0354,1,1.3511,38.1248,0.001,0.0272,0.0013,0.0367,0.964561
0.8252,6,2.4297,0.4908,1.1468,3.1845,2.7864,7.7373,0.174848
0.5021,5,3.4203,1.3623,0.054,0.7881,0.1847,2.6955,0.497851
0.2213,10,19.3913,8.7606,0.0001,0.1142,0.0011,2.2145,0.778654
0.8301,6,8.1292,1.6322,0.3607,0.9734,2.9324,7.913,0.1699
0.0328,7,3.2593,14.2106,0,0.0704,0,0.2294,0.967235
0.8716,8,1.3311,0.1909,3.2679,8.5066,4.3499,11.3231,0.128353
0.0556,1,9.5875,172.3916,0.0003,0.0061,0.0033,0.0589,0.944385
0.9176,2,19.886,10.8356,0.4945,0.5868,9.8342,11.6695,0.082377
0.0324,1,1.9913,61.486,0.0005,0.0168,0.0011,0.0335,0.967614
0.7755,1,14.2077,18.3216,0.1885,0.2431,2.6781,3.4536,0.224538
0.355,3,2.0697,1.9435,0.04,0.5546,0.0828,1.1478,0.645013
0.0973,8,19.5605,25.1229,0,0.0398,0.0001,0.7787,0.902676
0.0179,3,16.0765,300.0087,0,0.0033,0,0.0536,0.982138
0.9582,7,9.1062,1.3576,2.2161,2.9527,20.1801,26.8876,0.041778
0.8211,1,4.3432,5.2893,0.8679,1.0569,3.7693,4.5904,0.178878
0.6841,5,17.7011,5.1747,0.048,0.2413,0.8501,4.2708,0.315855
0.8237,5,7.4499,1.809,0.3887,0.9416,2.8961,7.0145,0.176334
0.9302,10,4.4423,0.4776,2.2962,4.3901,10.2003,19.5021,0.069817
0.0463,3,11.1478,80.2468,0,0.0125,0.0002,0.1391,0.953694
0.0087,7,4.9654,81.9812,0,0.0122,0,0.0606,0.991347
0.4249,1,6.0309,14.1939,0.0521,0.1225,0.3139,0.7388,0.575105
0.4672,8,3.4907,0.9339,0.0213,1.0921,0.0744,3.8121,0.532778
0.0134,6,13.9577,172.9721,0,0.0058,0,0.0807,0.986551
0.917,1,18.6205,20.3051,0.5444,0.5936,10.1366,11.0536,0.082963
0.4373,4,5.2234,2.9864,0.0249,0.3597,0.1299,1.879,0.562728
0.1108,10,3.8858,3.5056,0,0.2853,0,1.1085,0.889156
0.5961,9,10.4813,1.9537,0.0234,0.5352,0.2448,5.6096,0.403915
0.2711,2,19.043,35.1196,0.0029,0.0314,0.0561,0.5983,0.728884
0.6171,8,9.4154,1.907,0.0358,0.5602,0.337,5.2742,0.382855
0.6682,8,7.1212,1.3322,0.0765,0.8271,0.5447,5.8901,0.331822
0.0584,2,14.1616,121.2974,0.0001,0.0083,0.001,0.1178,0.941624
0.4483,4,13.2187,7.3711,0.0108,0.1465,0.1434,1.9367,0.55167
0.3615,6,5.4797,2.5265,0.0063,0.4022,0.0348,2.2037,0.638513
0.712,1,9.05,12.7111,0.1945,0.2731,1.76,2.4719,0.288023
0.5551,6,6.6756,2.0043,0.0372,0.5361,0.2485,3.5791,0.444895
0.8417,6,7.2427,1.4341,0.4579,1.1552,3.3166,8.3671,0.158254
0.2079,4,10.273,12.3536,0.0009,0.0818,0.0088,0.8404,0.792106
0.0806,3,9.3845,38.8014,0.0001,0.0259,0.0009,0.2427,0.91938
0.6317,2,4.4351,3.5105,0.1987,0.4836,0.8813,2.1446,0.368316
0.3601,1,15.8197,43.9369,0.0128,0.0356,0.2026,0.5626,0.639945
0.3346,1,4.1368,12.3638,0.0407,0.1216,0.1682,0.5028,0.66541
0.3781,3,2.1965,1.9364,0.0468,0.5632,0.1027,1.237,0.621889
0.7241,9,11.0861,1.701,0.0772,0.6651,0.8559,7.3733,0.275853
0.9276,8,14.7636,1.9895,0.6798,1.1824,10.0364,17.457,0.072426
0.0604,2,16.3967,135.683,0.0001,0.0074,0.0011,0.1219,0.939577
0.4741,8,4.4172,1.1647,0.0181,0.8767,0.0801,3.8728,0.52592
0.6592,7,8.009,1.7358,0.0692,0.6453,0.5538,5.1679,0.340846
0.9842,7,7.4978,1.0883,7.9437,8.8626,59.5602,66.4499,0.015756
0.3449,2,1.8627,2.7006,0.0604,0.4307,0.1125,0.8022,0.655136
0.0038,9,8.3371,245.0681,0,0.0041,0,0.034,0.99622
0.154,8,1.8184,1.4761,0.0002,0.6777,0.0004,1.2324,0.846009
0.9856,8,15.555,1.9727,4.2076,4.7145,65.4485,73.3335,0.014369
0.288,2,2.3293,4.0437,0.0286,0.2759,0.0666,0.6426,0.711988
0.8681,3,10.1061,3.8806,0.5028,0.7605,5.0811,7.6853,0.13191
0.3166,1,14.8635,46.9519,0.0099,0.0312,0.1466,0.4632,0.683431
0.9029,4,12.0772,3.3439,0.6176,0.9166,7.4587,11.0704,0.097073
0.6306,6,4.0754,1.0771,0.1183,1.0467,0.4822,4.2657,0.36941
0.7335,5,19.2335,5.2442,0.0667,0.2574,1.2826,4.9501,0.266487
0.1454,10,18.7278,12.8784,0,0.0777,0.0001,1.4543,0.854579
0.7229,7,7.316,1.4457,0.1348,0.8265,0.986,6.0466,0.277052
0.2539,3,4.364,5.7283,0.0064,0.1809,0.0278,0.7896,0.746056
0.5322,3,11.0879,6.945,0.0324,0.1764,0.359,1.9555,0.46782
0.0297,5,19.7292,132.8204,0,0.0075,0,0.1485,0.970292
0.9481,5,1.1321,0.2388,14.162,18.3495,16.0328,20.7734,0.051864
0.68,10,1.9428,0.2857,0.2637,3.764,0.5122,7.3127,0.319952
0.9618,5,12.3974,2.5778,1.8474,2.2353,22.9033,27.7125,0.038157
0.2492,9,11.4199,5.0915,0.0002,0.1966,0.0027,2.2456,0.750784
0.0966,4,11.4959,29.7647,0.0001,0.0337,0.0007,0.3869,0.903444
0.5715,2,6.5436,5.7249,0.0906,0.2653,0.5927,1.7357,0.4285
0.9859,9,15.7494,1.775,4.2203,4.7837,66.4671,75.34,0.014118
0.4744,3,3.0865,2.1689,0.0748,0.5358,0.2308,1.6538,0.525646
0.2019,2,7.9868,19.7789,0.0031,0.0537,0.0249,0.4287,0.798098
0.2315,1,10.3828,44.846,0.0067,0.029,0.0698,0.3013,0.768479
0.3333,8,8.0906,3.0343,0.0018,0.3313,0.0142,2.6806,0.6667
0.2662,9,10.2501,4.279,0.0004,0.2341,0.0037,2.3991,0.733842
0.3135,9,16.2939,5.7751,0.0005,0.1737,0.0081,2.8295,0.686512
0.104,6,16.6611,26.7108,0,0.0375,0.0002,0.624,0.89604
0.9987,10,18.2272,1.825,42.8375,43.3854,780.8076,790.7948,0.001273
0.5763,2,7.166,6.2174,0.0854,0.2462,0.6118,1.7644,0.423713
0.9963,2,13.7154,6.8835,19.2968,19.4421,264.6635,266.656,0.003744
0.2733,4,11.0636,10.1208,0.0021,0.1009,0.0228,1.1159,0.726711
0.7424,9,12.3247,1.8445,0.0831,0.6253,1.0247,7.7064,0.257584
0.247,3,12.3239,16.6296,0.0021,0.0622,0.0254,0.7665,0.752972
0.8308,4,14.6592,4.4113,0.2243,0.451,3.2878,6.6109,0.169227
0.9646,4,9.2596,2.3998,2.7226,3.1393,25.2106,29.0691,0.035394
0.5902,7,17.408,4.2133,0.017,0.2544,0.2962,4.4279,0.409754
0.5113,8,2.948,0.7207,0.0403,1.4278,0.1188,4.2091,0.48871
0.9132,7,4.1422,0.648,1.9352,3.4785,8.0159,14.4085,0.08677
0.0436,5,9.403,43.0995,0,0.0232,0,0.2182,0.956366
0.3337,4,16.8615,12.6314,0.0028,0.0819,0.0467,1.3816,0.666278
0.4926,3,19.4967,13.1928,0.0136,0.0894,0.266,1.7438,0.507392
0.3554,10,4.291,1.2072,0.0028,0.8312,0.0121,3.5666,0.644556
0.5167,1,1.6319,3.1582,0.3385,0.6552,0.5525,1.0692,0.48328
0.03,6,16.9287,94.1388,0,0.0106,0,0.1798,0.970029
0.7051,1,4.163,5.9038,0.4051,0.5745,1.6863,2.3915,0.294858
0.7849,10,7.8414,0.9991,0.1903,1.1912,1.4921,9.3406,0.215145
0.0308,8,15.5689,63.1106,0,0.0158,0,0.2467,0.969163
0.5017,5,18.2127,7.2597,0.0101,0.1479,0.1841,2.6928,0.498251
0.5537,5,19.3741,6.9983,0.0149,0.1578,0.289,3.0574,0.446322
0.8445,4,6.6387,1.9652,0.5678,1.0767,3.7696,7.1477,0.155469
0.3736,7,15.821,6.0499,0.002,0.1673,0.0311,2.6462,0.626418
0.8374,1,6.1758,7.3747,0.6985,0.8341,4.3139,5.1513,0.162567
0.8336,3,10.2916,4.1152,0.3491,0.5921,3.5924,6.0933,0.166374
0.6932,1,1.1373,1.6407,1.3768,1.9863,1.5659,2.2591,0.306838
0.9732,8,6.4795,0.8323,5.1272,6.3287,33.2215,41.0069,0.026822
0.891,7,17.6399,2.8282,0.3279,0.6815,5.7843,12.0215,0.108972
0.231,6,4.3115,3.1105,0.0013,0.3227,0.0054,1.3915,0.768979
0.5051,9,9.9013,2.1782,0.0096,0.4687,0.0952,4.6408,0.494934
0.3985,5,2.62,1.315,0.0262,0.7866,0.0686,2.061,0.601526
0.7822,10,17.2862,2.2101,0.0839,0.5364,1.4501,9.2717,0.217837
0.8225,6,6.5642,1.3301,0.4132,1.1651,2.7125,7.6476,0.177478
0.9702,9,3.104,0.3555,9.4366,12.2497,29.2913,38.023,0.029817
0.8589,10,1.8025,0.2099,1.9274,6.6927,3.4742,12.0636,0.141059
0.3961,7,2.1551,0.7773,0.0189,1.3055,0.0408,2.8134,0.603909
0.5754,2,9.4144,8.1805,0.0646,0.1869,0.6083,1.7591,0.424584
0.7941,2,7.0281,4.4253,0.3928,0.6188,2.7607,4.3489,0.20592
0.7047,9,12.5717,1.9823,0.0563,0.5608,0.7078,7.0499,0.295323
0.8837,3,11.1465,4.2045,0.5437,0.7815,6.0605,8.7115,0.116308
0.8476,10,1.9612,0.2314,1.5408,5.8627,3.0218,11.4979,0.152387
0.1979,7,18.5657,13.3987,0.0001,0.0747,0.0019,1.3875,0.802052
0.9264,2,6.9561,3.7544,1.6198,1.8862,11.2675,13.1203,0.073596
0.1615,10,1.5197,0.9412,0.0002,1.0627,0.0002,1.6149,0.838531
0.8876,10,17.5381,1.9758,0.2902,0.7963,5.0891,13.9655,0.112354
0.4186,10,14.7183,3.516,0.002,0.2864,0.0289,4.215,0.581396
0.6555,1,5.9691,9.1066,0.2089,0.3187,1.247,1.9025,0.344528
0.4116,1,10.3934,25.2542,0.0277,0.0673,0.2878,0.6994,0.588448
0.3347,9,10.2131,3.3907,0.0011,0.296,0.0112,3.0233,0.665322
0.2085,4,19.0967,22.899,0.0005,0.0441,0.0089,0.8428,0.791511
0.6639,3,13.1082,6.5819,0.0712,0.2232,0.9337,2.9253,0.336149
0.5817,2,12.2457,10.5259,0.0518,0.1468,0.6341,1.7974,0.418307
0.7185,10,16.2883,2.267,0.0463,0.4874,0.7535,7.9384,0.281508
0.3357,4,16.4211,12.2301,0.0029,0.0847,0.0477,1.3904,0.664331
0.8641,6,4.8553,0.9364,0.8778,1.9457,4.2622,9.447,0.13586
0.8853,8,4.4138,0.6232,1.1776,2.7821,5.1976,12.2798,0.114727
0.9595,5,11.8004,2.4597,1.8132,2.2197,21.3964,26.1939,0.0405
0.0838,2,19.0212,113.4418,0.0001,0.0089,0.0025,0.1702,0.916163
0.8096,3,16.1767,6.6607,0.1786,0.3287,2.8889,5.3176,0.190438
0.3013,6,16.5946,9.1796,0.001,0.1099,0.0161,1.8238,0.698705
0.8687,1,17.0204,19.5922,0.3378,0.3888,5.7494,6.6182,0.131265
0.7523,3,19.3358,8.5673,0.0934,0.2101,1.805,4.0619,0.247692
0.194,2,17.0231,43.8821,0.0013,0.0241,0.0223,0.4103,0.806036
0.0744,4,6.3442,21.3214,0,0.0469,0.0003,0.2978,0.925612
0.6479,10,10.9536,1.6907,0.0338,0.6253,0.3707,6.8493,0.352141
0.156,9,18.4134,13.113,0,0.0763,0.0003,1.4045,0.843977
0.3518,5,16.8296,9.5672,0.0025,0.107,0.0414,1.8005,0.648181
0.2148,4,1.5782,1.8368,0.0062,0.5507,0.0098,0.8691,0.785195
0.3892,1,16.8398,43.2726,0.0147,0.0378,0.2479,0.6371,0.610844
0.1256,3,16.4116,43.5725,0.0002,0.0231,0.0032,0.3799,0.87445
0.7582,10,17.0156,2.2441,0.0664,0.512,1.1292,8.7115,0.241777
0.9984,10,15.0714,1.5095,41.8573,42.5197,630.8479,640.8321,0.001574
0.5755,6,16.6531,4.8225,0.0179,0.2253,0.2982,3.7514,0.424463
0.0071,8,3.0975,54.692,0,0.0183,0,0.0566,0.992921
0.5289,4,1.4849,0.7019,0.1907,1.6155,0.2832,2.3988,0.471098
0.4668,3,15.9582,11.3965,0.0136,0.1014,0.2173,1.6176,0.533245
0.5805,9,17.602,3.3689,0.0119,0.3087,0.2095,5.4343,0.419463
0.1624,9,5.3476,3.6581,0.0001,0.2734,0.0004,1.4622,0.837572
0.9202,8,3.1257,0.4246,2.8172,5.1724,8.8057,16.1673,0.0798
0.9269,9,15.2322,1.8259,0.6398,1.1875,9.7458,18.0881,0.073079
0.1683,3,4.6294,9.1681,0.0017,0.1108,0.0078,0.5127,0.831685
0.469,6,1.6478,0.5855,0.0673,1.7751,0.1108,2.9251,0.530964
0.8291,7,18.3105,3.155,0.151,0.4679,2.7647,8.5684,0.170908
0.4517,9,18.2464,4.4886,0.0029,0.2256,0.0522,4.1172,0.548323
0.9937,4,6.9125,1.7392,22.3555,22.9305,154.5325,158.5072,0.006342
0.82,8,7.5932,1.1575,0.3151,1.179,2.393,8.9528,0.180028
0.2932,8,16.3964,6.9909,0.0005,0.1435,0.0078,2.3532,0.706824
0.3794,7,15.2133,5.7283,0.0022,0.1768,0.0334,2.6892,0.620598
0.102,4,12.3629,30.3088,0.0001,0.0331,0.0008,0.4087,0.898025
0.6239,9,9.3885,1.6719,0.0344,0.6325,0.3225,5.9378,0.376074
0.9907,5,6.2245,1.2566,16.6737,17.4695,103.7857,108.7391,0.009327
0.8141,7,9.7045,1.7029,0.2435,0.8307,2.3628,8.0616,0.185899
0.4293,5,15.1267,7.0471,0.0062,0.1481,0.0936,2.2401,0.570699
0.3052,10,11.3475,3.7179,0.0005,0.2695,0.0055,3.0576,0.694786
0.7404,5,7.6206,2.0584,0.1785,0.6643,1.3603,5.0624,0.259569
0.1254,10,9.1513,7.2976,0,0.137,0.0001,1.2541,0.874598
0.3023,10,6.0842,2.0127,0.0009,0.4977,0.0052,3.0282,0.697703
0.8038,2,7.3937,4.5993,0.4037,0.6211,2.9846,4.5921,0.196222
0.0019,7,3.8947,289.3284,0,0.0035,0,0.0135,0.998077
0.4486,7,15.3441,4.8868,0.0048,0.2094,0.0734,3.2133,0.551442
0.9382,1,1.3502,1.4391,10.558,11.2529,14.2554,15.1936,0.061753
0.0752,5,9.5598,25.4302,0,0.0393,0.0001,0.3761,0.924815
0.3752,5,8.3413,4.4458,0.0064,0.2314,0.0537,1.9299,0.624753
0.1845,7,14.9329,11.5656,0.0001,0.0866,0.0014,1.2926,0.81555
0.9451,7,13.7737,2.0821,1.0542,1.5345,14.5203,21.1358,0.054937
0.5906,5,19.4878,6.599,0.0202,0.1718,0.3942,3.3473,0.409375
0.1011,4,16.7392,41.3824,0,0.0242,0.0008,0.4053,0.898875
0.4996,3,7.927,5.2891,0.0354,0.2245,0.2807,1.7794,0.500419
0.8213,5,5.4383,1.3244,0.5202,1.2753,2.8288,6.9352,0.178722
0.8369,2,18.9292,11.3089,0.2094,0.2979,3.9646,5.6384,0.163084
0.5609,4,16.8516,7.5109,0.0217,0.1549,0.3659,2.6095,0.439095
0.8261,1,17.195,20.8152,0.2282,0.2762,3.9237,4.7498,0.173921
0.4561,1,11.1619,24.475,0.0343,0.0751,0.3824,0.8384,0.543946
0.8165,9,17.2448,2.3467,0.1276,0.5538,2.201,9.5494,0.183502
0.7766,1,16.926,21.7961,0.1595,0.2053,2.6989,3.4755,0.22344
0.3617,8,2.965,1.0247,0.0071,0.983,0.021,2.9145,0.6383
0.6292,10,14.9966,2.3835,0.0205,0.44,0.3069,6.5986,0.370825
0.5474,4,3.905,1.7833,0.0842,0.6449,0.3288,2.5185,0.452562
