rho,s,lambda,mu,Wq,W,Lq,Ls,P?
0.5977,8,9.597,2.0071,0.0292,0.5274,0.28,5.0615,0.40231
0.5773,5,12.0625,4.1788,0.0292,0.2685,0.3528,3.2393,0.422686
0.5394,4,10.5398,4.8853,0.0292,0.2339,0.3082,2.4656,0.460639
0.6496,7,17.3349,3.812,0.0293,0.2917,0.5084,5.0559,0.350356
0.6446,8,14.9257,2.8945,0.0293,0.3747,0.4366,5.5932,0.355425
0.6239,7,13.7672,3.1523,0.0293,0.3465,0.4029,4.7703,0.376091
0.5112,1,18.2431,35.6867,0.0293,0.0573,0.5346,1.0458,0.488798
0.6777,9,18.5421,3.0401,0.0294,0.3583,0.5446,6.6438,0.322313
0.6211,4,19.8917,8.0066,0.0294,0.1543,0.5853,3.0698,0.378894
0.5873,5,13.0551,4.4455,0.0294,0.2543,0.3836,3.3203,0.412657
0.5801,5,12.2906,4.2376,0.0294,0.2654,0.361,3.2614,0.419922
0.537,3,12.6723,7.8667,0.0294,0.1565,0.372,1.9829,0.46304
0.5181,8,4.3382,1.0466,0.0294,0.9849,0.1275,4.2725,0.481875
0.6673,9,16.6708,2.776,0.0295,0.3898,0.4922,6.4975,0.332744
0.6452,10,12.2544,1.8992,0.0295,0.556,0.3611,6.8136,0.354752
0.6225,9,10.7951,1.9267,0.0295,0.5485,0.3181,5.921,0.377458
0.6127,6,13.9885,3.8052,0.0295,0.2923,0.4129,4.0891,0.387304
0.5767,3,16.8617,9.7469,0.0295,0.1321,0.4978,2.2278,0.423349
0.5653,9,6.0737,1.1939,0.0295,0.8671,0.1794,5.2667,0.434747
0.5407,2,16.3436,15.1142,0.0295,0.0957,0.4827,1.5641,0.45933
0.5106,1,18.0827,35.4155,0.0295,0.0577,0.5327,1.0433,0.489413
0.6264,9,11.1495,1.9777,0.0296,0.5353,0.3305,5.9682,0.373586
0.6153,7,12.6076,2.9271,0.0296,0.3712,0.3726,4.6798,0.384685
0.536,8,5.1606,1.2036,0.0296,0.8605,0.1528,4.4405,0.464042
0.5353,10,3.8715,0.7232,0.0296,1.4123,0.1148,5.4677,0.464704
0.6564,7,18.1767,3.9557,0.0297,0.2825,0.5405,5.1356,0.343556
0.5779,10,6.0913,1.054,0.0297,0.9784,0.181,5.96,0.422098
0.5721,9,6.4759,1.2578,0.0297,0.8248,0.1923,5.341,0.427916
0.5516,3,13.9466,8.4282,0.0297,0.1484,0.4145,2.0692,0.448414
0.5491,4,11.2109,5.1044,0.0297,0.2256,0.3331,2.5294,0.450915
0.5305,3,11.9431,7.5045,0.0297,0.1629,0.3545,1.946,0.469512
0.527,2,14.8258,14.0657,0.0297,0.1008,0.4403,1.4944,0.472979
0.5117,6,5.6264,1.8326,0.0297,0.5753,0.1669,3.2371,0.488304
0.5326,5,8.1056,3.0436,0.0298,0.3583,0.2414,2.9045,0.467367
0.6628,7,19.151,4.128,0.0299,0.2721,0.5721,5.2115,0.337237
0.6565,8,16.3105,3.1056,0.0299,0.3519,0.4883,5.7402,0.343504
0.6296,10,10.3037,1.6366,0.0299,0.6409,0.3081,6.6039,0.370422
0.6249,7,13.6006,3.1093,0.0299,0.3515,0.4065,4.7806,0.375117
0.5991,5,14.147,4.7225,0.0299,0.2416,0.423,3.4186,0.400869
0.5979,4,16.3817,6.8494,0.0299,0.1759,0.4891,2.8808,0.402076
0.5742,6,9.8581,2.8615,0.0299,0.3793,0.2946,3.7396,0.425828
0.57,7,8.2166,2.0593,0.0299,0.5155,0.2455,4.2355,0.43
0.6938,10,19.5726,2.8213,0.03,0.3845,0.5876,7.5251,0.306249
0.6837,10,17.725,2.5925,0.03,0.4157,0.5313,7.3682,0.316305
0.6808,9,18.6955,3.0512,0.03,0.3578,0.5614,6.6887,0.319185
0.6802,9,18.5783,3.0347,0.03,0.3596,0.5582,6.6802,0.319773
0.5863,9,7.388,1.4002,0.03,0.7442,0.2219,5.4984,0.413725
0.5261,1,19.4452,36.9617,0.03,0.0571,0.584,1.1101,0.47391
0.5156,7,4.8616,1.3471,0.03,0.7724,0.1459,3.7549,0.484421
0.651,8,15.4147,2.9598,0.0301,0.3679,0.4637,5.6717,0.349002
0.6347,7,14.764,3.3233,0.0301,0.331,0.4441,4.8867,0.36534
0.626,8,12.1802,2.4322,0.0301,0.4412,0.3665,5.3743,0.374013
0.5979,3,19.3214,10.7712,0.0301,0.1229,0.5807,2.3745,0.402065
0.5958,6,11.8275,3.3088,0.0301,0.3323,0.3563,3.9308,0.404238
0.5644,6,8.9685,2.6483,0.0301,0.4077,0.2701,3.6566,0.435586
0.5367,3,12.3266,7.6552,0.0301,0.1608,0.3714,1.9816,0.463258
0.5144,1,18.0865,35.1575,0.0301,0.0586,0.545,1.0595,0.485558
0.5114,8,3.9551,0.9667,0.0301,1.0645,0.119,4.2103,0.488591
0.5882,3,17.9274,10.1601,0.0302,0.1286,0.5412,2.3057,0.411835
0.5208,3,10.9189,6.9879,0.0302,0.1733,0.3298,1.8924,0.47915
0.6559,9,14.5698,2.4681,0.0303,0.4354,0.4408,6.344,0.344091
0.6021,3,19.7236,10.9195,0.0303,0.1219,0.5984,2.4047,0.397906
0.6055,4,17.0619,7.0446,0.0304,0.1724,0.5187,2.9407,0.394504
0.6048,6,12.6361,3.4822,0.0305,0.3177,0.3855,4.0143,0.395198
0.5915,5,13.0298,4.4058,0.0305,0.2574,0.397,3.3544,0.408512
0.5723,9,6.3172,1.2265,0.0305,0.8458,0.1927,5.3433,0.427708
0.5264,5,7.5011,2.8497,0.0305,0.3814,0.2288,2.861,0.473555
0.5056,2,12.4912,12.3538,0.0305,0.1114,0.3804,1.3916,0.494441
0.6292,7,13.8009,3.1333,0.0306,0.3498,0.4228,4.8273,0.370778
0.6268,5,17.3479,5.535,0.0306,0.2113,0.5314,3.6656,0.373157
0.6249,9,10.6489,1.8934,0.0306,0.5587,0.3257,5.9499,0.375084
0.6066,10,7.9632,1.3128,0.0306,0.7923,0.2436,6.3094,0.393428
0.5913,7,9.7661,2.3596,0.0306,0.4544,0.299,4.4379,0.408727
0.59,6,11.0689,3.1266,0.0306,0.3504,0.3388,3.8791,0.409958
0.5436,3,12.76,7.8238,0.0306,0.1584,0.3909,2.0218,0.456357
0.5307,1,19.6068,36.9478,0.0306,0.0577,0.6,1.1307,0.469338
0.5094,2,12.7471,12.5114,0.0306,0.1106,0.3906,1.4095,0.49058
0.6223,6,14.6188,3.9153,0.0307,0.2861,0.4488,4.1825,0.37771
0.6221,4,19.2303,7.7277,0.0307,0.1601,0.59,3.0785,0.377874
0.6019,4,16.4382,6.828,0.0307,0.1771,0.5043,2.9118,0.398135
0.5857,5,12.3289,4.2103,0.0307,0.2682,0.3782,3.3064,0.414349
0.5585,3,14.2143,8.4831,0.0307,0.1486,0.4362,2.1118,0.441463
0.5545,2,17.2536,15.5578,0.0307,0.095,0.5295,1.6385,0.4455
0.5254,7,5.2228,1.42,0.0307,0.7349,0.1606,3.8385,0.474586
0.6852,9,19.0374,3.0871,0.0308,0.3547,0.5857,6.7525,0.314807
0.6181,6,14.0629,3.7917,0.0308,0.2945,0.4329,4.1417,0.381863
0.5438,9,4.6613,0.9525,0.0308,1.0807,0.1437,5.0375,0.456241
0.5407,3,12.4168,7.6555,0.0308,0.1614,0.3823,2.0043,0.459348
0.517,8,4.0918,0.9893,0.0308,1.0416,0.126,4.262,0.483007
0.6815,10,16.8455,2.4717,0.0309,0.4355,0.52,7.3354,0.318454
0.6153,4,18.1268,7.3655,0.0309,0.1666,0.5595,3.0205,0.384737
0.5454,7,6.3003,1.6504,0.0309,0.6368,0.1946,4.0121,0.454639
0.5138,1,17.5876,34.2326,0.0309,0.0601,0.5429,1.0566,0.486233
0.5118,1,17.3611,33.9199,0.0309,0.0604,0.5366,1.0484,0.488174
0.6139,7,11.8523,2.758,0.031,0.3936,0.3679,4.6653,0.386087
0.6121,6,13.2685,3.6129,0.031,0.3077,0.4108,4.0833,0.387914
0.6067,5,14.5198,4.7864,0.031,0.2399,0.4503,3.4839,0.393287
0.5376,8,5.0102,1.1649,0.031,0.8894,0.1554,4.4563,0.462391
0.5106,2,12.7173,12.4525,0.031,0.1113,0.3939,1.4152,0.489366
0.5021,6,4.9192,1.6329,0.031,0.6434,0.1525,3.1651,0.497896
0.6425,10,11.3009,1.7588,0.0311,0.5997,0.3513,6.7767,0.357462
0.6191,7,12.3928,2.8595,0.0311,0.3808,0.3858,4.7198,0.380865
0.5927,6,11.1674,3.1401,0.0311,0.3495,0.3469,3.9032,0.407276
0.5861,8,8.051,1.7171,0.0311,0.6135,0.2504,4.939,0.413922
0.6803,8,19.5629,3.5943,0.0312,0.3094,0.6104,6.0531,0.319663
0.6451,9,12.7396,2.1941,0.0312,0.4869,0.3969,6.2032,0.354856
0.6326,7,13.9492,3.1503,0.0312,0.3487,0.4357,4.8636,0.367448
0.6278,7,13.3867,3.0463,0.0312,0.3594,0.4173,4.8117,0.372222
0.6178,7,12.2283,2.8276,0.0312,0.3848,0.3811,4.7057,0.382202
0.5372,4,9.7035,4.5154,0.0312,0.2527,0.3029,2.4519,0.46276
0.5351,3,11.7516,7.3199,0.0312,0.1678,0.367,1.9724,0.464855
0.6594,8,16.0413,3.0408,0.0313,0.3601,0.5018,5.777,0.340591
0.6001,6,11.8309,3.2859,0.0313,0.3356,0.37,3.9704,0.39992
0.5874,9,7.1732,1.3568,0.0313,0.7683,0.2245,5.5113,0.412577
0.5451,3,12.6362,7.7271,0.0313,0.1607,0.3951,2.0305,0.454894
0.6904,9,19.5996,3.1542,0.0314,0.3485,0.6163,6.8301,0.309571
0.6746,9,16.8516,2.7755,0.0314,0.3917,0.5286,6.6001,0.325386
0.6744,9,16.8134,2.7702,0.0314,0.3924,0.5274,6.5969,0.325616
0.6143,4,17.7001,7.2031,0.0314,0.1702,0.5554,3.0127,0.385675
0.605,4,16.4715,6.8068,0.0314,0.1783,0.5166,2.9365,0.395032
0.5767,4,13.1846,5.7151,0.0314,0.2064,0.4145,2.7215,0.423261
0.5537,8,5.8101,1.3117,0.0314,0.7938,0.1824,4.6119,0.446318
0.5307,4,9.1521,4.3115,0.0314,0.2633,0.2873,2.41,0.469325
0.529,1,18.9359,35.7988,0.0314,0.0593,0.594,1.1229,0.471047
0.6158,4,17.8501,7.2466,0.0315,0.1695,0.5618,3.0251,0.384193
0.6099,9,8.9113,1.6233,0.0315,0.6475,0.281,5.7705,0.390054
0.6014,3,18.9172,10.4846,0.0315,0.1269,0.5956,2.3999,0.398571
0.5841,4,13.9345,5.9636,0.0315,0.1992,0.4393,2.7759,0.415851
0.5765,8,7.2549,1.573,0.0315,0.6672,0.2283,4.8405,0.423468
0.5684,8,6.6882,1.4709,0.0315,0.7114,0.2108,4.7577,0.431635
0.6727,10,15.0448,2.2365,0.0316,0.4788,0.4758,7.2028,0.3273
0.6662,7,18.6724,4.0043,0.0316,0.2813,0.5899,5.253,0.333841
0.6429,7,15.1313,3.3623,0.0316,0.329,0.4784,4.9788,0.357093
0.6202,6,13.9674,3.7533,0.0316,0.298,0.4409,4.1623,0.379766
0.5947,10,6.8185,1.1465,0.0316,0.9038,0.2156,6.1626,0.405301
0.5446,6,7.1536,2.1894,0.0316,0.4883,0.2259,3.4933,0.455435
0.5361,2,14.8226,13.8255,0.0316,0.1039,0.468,1.5401,0.46394
0.5323,7,5.4256,1.456,0.0316,0.7184,0.1717,3.898,0.467676
0.5239,6,5.9182,1.8827,0.0316,0.5627,0.187,3.3304,0.476098
0.6681,10,14.3572,2.1489,0.0317,0.497,0.4544,7.1354,0.331896
0.6537,7,16.6541,3.6396,0.0317,0.3064,0.5272,5.103,0.346317
0.6007,5,13.538,4.5074,0.0317,0.2535,0.4285,3.432,0.399303
0.5896,7,9.28,2.2484,0.0317,0.4765,0.2945,4.4219,0.410371
0.5845,7,8.8786,2.1698,0.0317,0.4925,0.281,4.3729,0.415454
0.5464,5,8.557,3.1323,0.0317,0.351,0.2716,3.0035,0.453622
0.5118,1,16.9457,33.1121,0.0317,0.0619,0.5364,1.0482,0.488232
0.6892,9,19.1372,3.0854,0.0318,0.3559,0.6087,6.8112,0.31084
0.6181,5,15.5664,5.0368,0.0318,0.2303,0.4947,3.5852,0.381888
0.5559,6,7.8832,2.3634,0.0318,0.4549,0.2503,3.5858,0.444082
0.5341,3,11.4691,7.1573,0.0318,0.1715,0.3643,1.9667,0.465856
0.6648,7,18.2678,3.9257,0.0319,0.2866,0.5826,5.236,0.335227
0.6573,6,19.0117,4.8208,0.0319,0.2394,0.6069,4.5506,0.342719
0.5139,1,17.0255,33.1317,0.0319,0.0621,0.5432,1.0571,0.486126
0.671,7,19.2446,4.0973,0.032,0.2761,0.6161,5.313,0.329009
0.6368,5,18.014,5.6579,0.032,0.2087,0.5765,3.7603,0.363232
0.6171,7,11.8398,2.7409,0.032,0.3968,0.3787,4.6983,0.38291
0.5945,10,6.725,1.1312,0.032,0.916,0.2151,6.16,0.405514
0.5937,7,9.5525,2.2985,0.032,0.4671,0.3058,4.4618,0.406294
0.5611,8,6.1326,1.3663,0.032,0.7639,0.1962,4.6849,0.438922
0.5374,2,14.7445,13.7171,0.032,0.1049,0.4724,1.5473,0.462551
0.659,10,12.9363,1.9631,0.0321,0.5415,0.4146,7.0045,0.341015
0.6547,7,16.5859,3.6193,0.0321,0.3084,0.5319,5.1146,0.345333
0.6069,4,16.3257,6.7253,0.0321,0.1808,0.5243,2.9518,0.393121
0.584,7,8.7062,2.1298,0.0321,0.5016,0.2795,4.3674,0.416025
0.5648,3,14.2351,8.401,0.0321,0.1511,0.4567,2.1511,0.435183
0.5004,7,3.9072,1.1154,0.0321,0.9287,0.1255,3.6286,0.499564
0.6898,9,19.0454,3.0679,0.0322,0.3581,0.6123,6.8203,0.31023
0.6703,10,14.4129,2.1502,0.0322,0.4973,0.4645,7.1675,0.329703
0.6459,6,17.086,4.4085,0.0322,0.259,0.5505,4.4261,0.354058
0.6253,7,12.6804,2.8971,0.0322,0.3773,0.4079,4.7849,0.374724
0.6218,6,13.8627,3.7157,0.0322,0.3014,0.4469,4.1778,0.378188
0.5797,2,19.4313,16.7608,0.0322,0.0919,0.6256,1.7849,0.420336
0.5701,2,18.2197,15.9805,0.0322,0.0948,0.5871,1.7272,0.429939
0.551,10,4.2202,0.7659,0.0322,1.3378,0.136,5.6458,0.44902
0.5397,10,3.7402,0.693,0.0322,1.4753,0.1204,5.5178,0.460266
0.5223,6,5.7155,1.8237,0.0322,0.5806,0.1843,3.3183,0.477665
0.6621,8,15.9309,3.0076,0.0323,0.3648,0.5146,5.8115,0.337887
0.6537,8,14.7351,2.8178,0.0323,0.3871,0.4754,5.7046,0.34635
0.6222,9,9.8275,1.755,0.0323,0.6021,0.317,5.9167,0.377813
0.6089,6,12.3586,3.3825,0.0323,0.328,0.3997,4.0533,0.391058
0.5266,4,8.6153,4.0898,0.0323,0.2768,0.2781,2.3846,0.473364
0.6388,9,11.5036,2.001,0.0324,0.5322,0.373,6.1218,0.361238
0.6305,7,13.1777,2.9859,0.0324,0.3674,0.4276,4.8409,0.369528
0.6256,4,18.6844,7.4668,0.0324,0.1664,0.606,3.1083,0.374418
0.5968,7,9.6963,2.3211,0.0324,0.4633,0.3146,4.492,0.403223
0.5208,6,5.5896,1.7889,0.0325,0.5915,0.1816,3.3062,0.479234
0.6542,9,13.284,2.2561,0.0326,0.4759,0.4336,6.3216,0.345778
0.6424,10,10.7438,1.6723,0.0327,0.6306,0.351,6.7754,0.357557
0.6219,7,12.1045,2.7804,0.0327,0.3924,0.3957,4.7493,0.378068
0.6156,7,11.4256,2.6512,0.0327,0.4099,0.3738,4.6833,0.384354
0.6128,4,16.7624,6.8389,0.0327,0.179,0.5487,2.9997,0.387245
0.6016,7,10.0499,2.3866,0.0327,0.4517,0.3287,4.5397,0.398427
0.5685,5,10.0192,3.5247,0.0327,0.3164,0.3277,3.1703,0.43148
0.5565,3,13.1449,7.8732,0.0327,0.1597,0.4298,2.0994,0.443476
0.5536,10,4.2659,0.7706,0.0328,1.3305,0.1398,5.6756,0.446422
0.6956,9,19.7031,3.1473,0.0329,0.3506,0.6479,6.9081,0.30442
0.6935,9,19.3038,3.0927,0.0329,0.3562,0.6351,6.8769,0.30647
0.6913,9,18.8975,3.0373,0.0329,0.3621,0.6216,6.8435,0.308679
0.6531,6,17.8098,4.5451,0.0329,0.2529,0.5854,4.5038,0.346922
0.6346,4,19.7452,7.7783,0.0329,0.1615,0.6498,3.1883,0.365373
0.6111,6,12.3832,3.3775,0.0329,0.329,0.4071,4.0735,0.388937
0.6035,10,7.183,1.1902,0.0329,0.8731,0.2361,6.2712,0.396491
0.603,5,13.2622,4.3988,0.0329,0.2603,0.4367,3.4516,0.397011
0.5812,2,19.1849,16.5045,0.0329,0.0935,0.632,1.7944,0.418796
0.5761,10,5.4012,0.9376,0.0329,1.0994,0.1775,5.9383,0.423921
0.5166,4,7.7885,3.7694,0.0329,0.2982,0.2561,2.3224,0.483443
0.6636,10,13.1748,1.9855,0.033,0.5366,0.4341,7.0697,0.336446
0.6519,5,19.7707,6.066,0.033,0.1978,0.6523,3.9115,0.348147
0.6193,6,13.2669,3.5705,0.033,0.313,0.4372,4.1529,0.380723
0.6135,10,7.9138,1.29,0.033,0.8082,0.2615,6.3963,0.386524
0.6037,8,8.9889,1.8613,0.033,0.5702,0.2965,5.1259,0.396324
0.5884,3,16.419,9.3016,0.033,0.1405,0.542,2.3072,0.411607
0.5809,6,9.4726,2.7177,0.033,0.401,0.3127,3.7982,0.419085
0.5201,1,17.092,32.8641,0.033,0.0634,0.5636,1.0837,0.479919
0.5099,8,3.5529,0.8709,0.033,1.1812,0.1172,4.1965,0.490078
0.6464,6,16.6918,4.304,0.0331,0.2654,0.5525,4.4306,0.35364
0.6204,9,9.4112,1.6856,0.0331,0.6264,0.3115,5.8949,0.379618
0.6086,9,8.3841,1.5306,0.0331,0.6864,0.2774,5.7551,0.391364
0.5496,3,12.3392,7.4838,0.0331,0.1667,0.4084,2.0572,0.450407
0.5307,1,18.137,34.1784,0.0331,0.0623,0.6,1.1306,0.469343
0.524,5,6.7612,2.5807,0.0331,0.4206,0.2239,2.8438,0.476027
0.6605,6,18.7904,4.7416,0.0332,0.2441,0.6239,4.5868,0.33952
0.6533,8,14.2598,2.7282,0.0332,0.3998,0.4741,5.7009,0.34665
0.6362,4,19.8374,7.7949,0.0332,0.1615,0.6579,3.2028,0.363774
0.6216,6,13.4402,3.6037,0.0332,0.3107,0.4461,4.1757,0.378404
0.61,8,9.4925,1.9453,0.0332,0.5472,0.3148,5.1944,0.390046
0.584,4,13.2142,5.6567,0.0332,0.21,0.4388,2.7748,0.415998
0.5786,9,6.1843,1.1876,0.0332,0.8752,0.2054,5.4126,0.421422
0.6475,6,16.7412,4.3094,0.0333,0.2654,0.5578,4.4426,0.35253
0.612,3,19.2825,10.5027,0.0333,0.1285,0.6426,2.4786,0.388013
0.5792,2,18.7088,16.1518,0.0333,0.0952,0.6235,1.7818,0.420844
0.5591,6,7.7292,2.3042,0.0333,0.4673,0.2574,3.6118,0.440943
0.5205,2,12.6509,12.1537,0.0333,0.1156,0.4212,1.4621,0.479544
0.5066,5,5.7631,2.2752,0.0333,0.4729,0.1922,2.7251,0.493406
0.6944,10,17.7347,2.5538,0.0334,0.4249,0.5917,7.5361,0.305562
0.6928,10,17.4239,2.515,0.0334,0.431,0.5821,7.5101,0.307197
0.5612,4,10.9888,4.895,0.0334,0.2377,0.3668,2.6117,0.438778
0.5388,1,18.8238,34.9334,0.0334,0.0621,0.6296,1.1685,0.461151
0.5267,3,10.3253,6.5347,0.0334,0.1864,0.3446,1.9247,0.473309
0.5156,3,9.4897,6.1347,0.0334,0.1964,0.3171,1.864,0.48437
0.511,1,16.0001,31.3135,0.0334,0.0653,0.5339,1.0448,0.489035
0.7054,10,19.7352,2.7977,0.0335,0.3909,0.6606,7.7147,0.294587
0.6331,9,10.5239,1.847,0.0335,0.575,0.3529,6.0509,0.366892
0.622,4,17.6092,7.0774,0.0335,0.1748,0.5895,3.0776,0.377975
0.5661,5,9.5962,3.3903,0.0335,0.3284,0.3211,3.1515,0.433905
0.5468,3,11.9263,7.2709,0.0335,0.1711,0.4,2.0403,0.453237
0.5229,2,12.776,12.2153,0.0335,0.1154,0.4284,1.4743,0.47705
0.5004,1,14.9551,29.887,0.0335,0.067,0.5012,1.0016,0.499612
0.6398,9,11.2049,1.946,0.0336,0.5475,0.3766,6.1344,0.360245
0.6106,3,18.9331,10.3361,0.0336,0.1304,0.6362,2.4679,0.389416
0.6001,4,14.7922,6.1623,0.0336,0.1959,0.4974,2.8979,0.399896
0.5749,7,7.6575,1.9029,0.0336,0.5591,0.2569,4.2811,0.425114
0.5554,3,12.7016,7.6235,0.0336,0.1647,0.4262,2.0923,0.444629
0.6848,8,18.8816,3.4464,0.0337,0.3239,0.6367,6.1154,0.315163
0.6684,9,14.7556,2.4529,0.0337,0.4414,0.4977,6.5134,0.331593
0.6628,6,18.8652,4.7439,0.0337,0.2445,0.6364,4.6131,0.337212
0.6529,5,19.5032,5.9742,0.0337,0.2011,0.658,3.9226,0.347083
0.6491,5,18.9398,5.836,0.0337,0.205,0.6376,3.8829,0.350933
0.5888,6,9.9364,2.8126,0.0337,0.3893,0.3352,3.8681,0.411188
0.5798,2,18.5954,16.0374,0.0337,0.096,0.626,1.7855,0.420248
0.5206,3,9.7615,6.2498,0.0337,0.1937,0.3293,1.8912,0.479369
0.515,1,16.2415,31.5387,0.0337,0.0654,0.5468,1.0617,0.48503
0.6335,6,14.6281,3.8485,0.0338,0.2936,0.4944,4.2954,0.366504
0.679,9,16.2497,2.659,0.0339,0.41,0.5516,6.6627,0.320989
0.6509,7,15.1651,3.3284,0.0339,0.3343,0.5141,5.0704,0.349109
0.6164,6,12.5706,3.3991,0.0339,0.3281,0.4263,4.1246,0.383629
0.5933,5,11.9089,4.0141,0.0339,0.283,0.4032,3.3699,0.406652
0.5472,6,6.815,2.0758,0.0339,0.5157,0.2313,3.5144,0.452823
0.5123,1,15.8477,30.9371,0.0339,0.0663,0.538,1.0503,0.487745
0.6746,9,15.5355,2.5588,0.034,0.4248,0.5285,6.6,0.325397
0.6373,7,13.3831,3,0.034,0.3673,0.4547,4.9157,0.36272
0.6144,3,19.2227,10.4287,0.034,0.1299,0.654,2.4972,0.385585
0.5431,9,4.196,0.8585,0.034,1.1988,0.1427,5.0301,0.456946
0.6255,6,13.5304,3.6052,0.0341,0.3115,0.4614,4.2145,0.374494
0.5881,3,15.8548,8.9859,0.0341,0.1454,0.5411,2.3055,0.411862
0.5769,6,8.8469,2.5558,0.0341,0.4254,0.3018,3.7634,0.423077
0.5558,3,12.5379,7.5197,0.0341,0.1671,0.4274,2.0948,0.444219
0.5437,1,19.0116,34.9675,0.0341,0.0627,0.6478,1.1915,0.456306
0.6952,9,18.8556,3.0134,0.0342,0.3661,0.6458,6.903,0.30475
0.6428,7,13.993,3.1098,0.0342,0.3557,0.478,4.9776,0.357197
0.6121,9,8.3858,1.5222,0.0342,0.6912,0.2871,5.7963,0.38787
0.6032,5,12.796,4.2427,0.0342,0.2699,0.4375,3.4535,0.396792
0.5947,5,11.9198,4.0087,0.0342,0.2837,0.4077,3.3811,0.40531
0.5934,3,16.4386,9.2343,0.0342,0.1425,0.562,2.3422,0.406612
0.5341,1,17.9106,33.5368,0.0342,0.064,0.6121,1.1462,0.465942
0.5249,1,16.9629,32.3177,0.0342,0.0651,0.5798,1.1047,0.475121
0.5174,2,12.0676,11.6614,0.0342,0.1199,0.4126,1.4474,0.482585
0.5118,5,5.8761,2.2962,0.0342,0.4697,0.2012,2.7603,0.488197
0.6613,10,12.3626,1.8693,0.0343,0.5693,0.4246,7.038,0.338655
0.6403,10,10.0275,1.566,0.0343,0.6729,0.3437,6.7471,0.359654
0.6163,5,14.2183,4.6142,0.0343,0.251,0.4873,3.5687,0.383717
0.5444,3,11.4576,7.0153,0.0343,0.1769,0.3931,2.0263,0.455588
0.5383,8,4.5653,1.0601,0.0343,0.9776,0.1565,4.4629,0.461696
0.5242,2,12.5924,12.0118,0.0343,0.1176,0.4319,1.4803,0.475831
0.6243,9,9.4029,1.6736,0.0344,0.632,0.3236,5.9422,0.375718
0.6164,9,8.6966,1.5675,0.0344,0.6724,0.2996,5.8475,0.383563
0.5004,4,6.5178,3.256,0.0344,0.3415,0.2242,2.226,0.499556
0.6872,9,17.2992,2.7972,0.0345,0.392,0.5971,6.7817,0.312824
0.6609,7,16.3018,3.5239,0.0345,0.3183,0.5624,5.1884,0.339142
0.646,6,15.9764,4.1218,0.0345,0.2771,0.5508,4.4269,0.35399
0.6155,3,19.0968,10.3419,0.0345,0.1312,0.6592,2.5057,0.384483
0.5752,10,5.1041,0.8873,0.0345,1.1615,0.1759,5.9282,0.424777
0.5679,4,11.1966,4.9287,0.0345,0.2374,0.3868,2.6585,0.43207
0.5296,2,12.9742,12.2491,0.0345,0.1162,0.4481,1.5073,0.470401
0.5673,4,11.1131,4.8973,0.0346,0.2388,0.3849,2.6541,0.432688
0.5316,10,3.183,0.5987,0.0346,1.7048,0.1102,5.4265,0.468376
0.6772,10,14.3515,2.1191,0.0347,0.5066,0.498,7.2705,0.322755
0.62,6,12.6683,3.4056,0.0347,0.3284,0.4399,4.1597,0.380023
0.5637,2,16.2151,14.3826,0.0347,0.1042,0.5629,1.6903,0.436293
0.5592,4,10.4142,4.6562,0.0347,0.2494,0.3609,2.5975,0.440837
0.5327,2,13.1949,12.3857,0.0347,0.1154,0.4574,1.5228,0.467333
0.5073,9,2.8155,0.6166,0.0347,1.6565,0.0976,4.6638,0.492651
0.6511,8,13.3491,2.5627,0.0348,0.425,0.4643,5.6733,0.348871
0.7058,10,18.9903,2.6905,0.0349,0.4066,0.6633,7.7214,0.294185
0.662,7,16.296,3.5167,0.0349,0.3192,0.5681,5.202,0.338016
0.6067,4,14.9809,6.1731,0.0349,0.1969,0.5236,2.9503,0.393304
0.6011,7,9.3802,2.2291,0.0349,0.4835,0.3274,4.5355,0.398851
0.5925,8,7.6394,1.6116,0.0349,0.6554,0.2665,5.0069,0.407453
0.5816,6,9.0181,2.5845,0.0349,0.4218,0.3144,3.8037,0.418448
0.6978,9,18.9254,3.0137,0.035,0.3668,0.6617,6.9416,0.30224
0.6821,10,14.9332,2.1892,0.035,0.4918,0.523,7.3444,0.317866
0.5911,6,9.771,2.7552,0.035,0.3979,0.3419,3.8883,0.40893
0.586,3,15.1626,8.6256,0.0351,0.1511,0.5326,2.2904,0.414046
0.5672,6,7.89,2.3183,0.0351,0.4664,0.2769,3.6803,0.432775
0.5352,1,17.5542,32.8012,0.0351,0.0656,0.6161,1.1513,0.464831
0.6499,6,16.1987,4.1541,0.0352,0.2759,0.5696,4.469,0.350099
0.6324,6,13.9301,3.671,0.0352,0.3076,0.4899,4.2846,0.367563
0.5793,5,10.1922,3.5187,0.0352,0.3194,0.3587,3.2553,0.420685
0.6848,10,15.2286,2.2237,0.0353,0.485,0.5374,7.3858,0.315162
0.6684,7,17.0277,3.6396,0.0353,0.3101,0.6017,5.2802,0.331645
0.6603,7,15.8556,3.4306,0.0353,0.3268,0.5594,5.1813,0.339733
0.6448,5,17.4545,5.414,0.0353,0.22,0.6156,3.8396,0.355212
0.5517,7,5.86,1.5175,0.0353,0.6942,0.2066,4.0682,0.448342
0.5186,6,5.0391,1.6194,0.0353,0.6529,0.1781,3.2898,0.48138
0.5158,7,4.1433,1.1476,0.0353,0.9067,0.1462,3.7567,0.484208
0.6634,10,12.2575,1.8477,0.0354,0.5766,0.4334,7.0672,0.336615
0.6594,7,15.6907,3.3994,0.0354,0.3295,0.555,5.1708,0.340608
